Year,Restoration Work Performed
2003,Garbage removal
2003,Trail/Parking maintenance
2003,Repairs to restoration structures
2003,Deflector/Sweeper construction or installation
2003,Deflector/Sweeper construction or installation
2003,Obstruction removal
2003,Abiotic data collection
2003,Other
2004,Garbage removal
2004,Deflector/Sweeper construction or installation
2004,Trail/Parking maintenance
2004,Deflector/Sweeper construction or installation
2004,Obstruction removal
2004,Planting
2004,Obstruction removal
2004,Trail/Parking maintenance
2004,Vegetation management
2005,Trail/Parking maintenance
2005,Vegetation management
2005,Trail/Parking maintenance
2005,Obstruction removal
2005,Deflector/Sweeper construction or installation
2005,Vegetation management
2005,Obstruction removal
2005,Garbage removal
2005,Garbage removal
2005,Other
2005,Electrofishing 
2006,Electrofishing 
2006,Trail/Parking maintenance
2006,Repairs to restoration structures
2006,Vegetation management
2006,Trail/Parking maintenance
2006,Obstruction removal
2006,Garbage removal
2006,Deflector/Sweeper construction or installation
2006,Deflector/Sweeper construction or installation
2006,Other
2006,Vegetation management
2006,Planting
2006,Deflector/Sweeper construction or installation
2006,Abiotic data collection
2006,Vegetation management
2006,Deflector/Sweeper construction or installation
2007,Electrofishing 
2007,Repairs to restoration structures
2007,Planting
2007,Trail/Parking maintenance
2007,Garbage removal
2007,Deflector/Sweeper construction or installation
2007,Obstruction removal
2007,Vegetation management
2007,Abiotic data collection
2008,Obstruction removal
2008,Deflector/Sweeper construction or installation
2008,Trail/Parking maintenance
2008,Garbage removal
2008,Obstruction removal
2008,Planting
2008,Deflector/Sweeper construction or installation
2008,Electrofishing 
2008,Vegetation management
2008,Vegetation management
2008,Abiotic data collection
2009,Obstruction removal
2009,Deflector/Sweeper construction or installation
2009,Vegetation management
2009,Trail/Parking maintenance
2009,Obstruction removal
2009,Garbage removal
2009,Vegetation management
2009,Vegetation management
2009,Garbage removal
2009,Planting
2009,Other
2009,Deflector/Sweeper construction or installation
2009,Electrofishing 
2009,Biotic data collection
2010,Obstruction removal
2010,Deflector/Sweeper construction or installation
2010,Trail/Parking maintenance
2010,Obstruction removal
2010,Vegetation management
2010,Vegetation management
2010,Garbage removal
2010,Planting
2010,Electrofishing 
2010,Obstruction removal
2010,Deflector/Sweeper construction or installation
2010,Garbage removal
2010,Deflector/Sweeper construction or installation
2010,Obstruction removal
2010,Vegetation management
2010,Obstruction removal
2011,Obstruction removal
2011,Deflector/Sweeper construction or installation
2011,Vegetation management
2011,Obstruction removal
2011,Deflector/Sweeper construction or installation
2011,Other
2011,Planting
2011,Garbage removal
2012,Obstruction removal
2012,Deflector/Sweeper construction or installation
2012,Suitable fish habitat
2012,Electrofishing 
2013,Garbage removal
2013,Planting
2013,Garbage removal
2013,Vegetation management
2013,Deflector/Sweeper construction or installation
2013,Suitable fish habitat
2013,Abiotic data collection
2013,Deflector/Sweeper construction or installation
2013,Obstruction removal
2013,Suitable fish habitat
2013,Electrofishing 
2013,Electrofishing 
2013,Obstruction removal
2013,Deflector/Sweeper construction or installation
2013,Obstruction removal
2014,Electrofishing 
2014,Obstruction removal
2014,Deflector/Sweeper construction or installation
2014,Repairs to restoration structures
2014,Deflector/Sweeper construction or installation
2014,Obstruction removal
2014,Obstruction removal
2014,Invasive species management 
2014,Other
2014,Trail/Parking maintenance
2014,Garbage removal
2015,Obstruction removal
2015,Deflector/Sweeper construction or installation
2015,Repairs to restoration structures
2015,Repairs to restoration structures
2015,Repairs to restoration structures
2015,Obstruction removal
2015,Electrofishing 
2016,Obstruction removal
2016,Deflector/Sweeper construction or installation
2016,Repairs to restoration structures
2016,Deflector/Sweeper construction or installation
2016,Obstruction removal
2016,Electrofishing 
2016,Garbage removal
2017,Obstruction removal
2017,Obstruction removal
2017,Deflector/Sweeper construction or installation
2017,Obstruction removal
2017,Invasive species management 
2017,Obstruction removal
2017,Abiotic data collection
2017,Garbage removal
2017,Electrofishing 
2018,Obstruction removal
2018,Deflector/Sweeper construction or installation
2018,Obstruction removal
2018,Vegetation management
2018,Trail/Parking maintenance
2018,Trail/Parking maintenance
2018,Obstruction removal
2018,Deflector/Sweeper construction or installation
2018,Electrofishing 
2019,Trail/Parking maintenance
2019,Deflector/Sweeper construction or installation
2019,Obstruction removal
2019,Deflector/Sweeper construction or installation
2019,Obstruction removal
2019,Vegetation management
2019,Planting
2019,Electrofishing 
2022,Obstruction removal
2022,Deflector/Sweeper construction or installation
2022,Suitable fish habitat
2022,Electrofishing 
2022,Biotic data collection
2023,Obstruction removal
2023,Deflector/Sweeper construction or installation
2023,Obstruction removal
2023,Deflector/Sweeper construction or installation
2023,Invasive species management 
2023,Repairs to restoration structures
2023,Garbage removal
2023,Biotic data collection
2023,Biotic data collection
2023,Biotic data collection
2023,Biotic data collection
2023,Electrofishing 
2024,Obstruction removal
2024,Obstruction removal
2024,Obstruction removal
2024,Deflector/Sweeper construction or installation
2024,Trail/Parking maintenance
2024,Invasive species management 
2024,Biotic data collection