Location,Year
Shade's Mills,2003
Shade's Mills,2004
Shade's Mills,2006
Shade's Mills,2007
Shade's Mills,2013
Shade's Mills,2014
Shade's Mills,2017
Shade's Mills,2018
Shade's Mills,2019
Shade's Mills,2023
Shade's Mills,2024
Bond Tract,2003
Bond Tract,2004
Bond Tract,2005
Bond Tract,2006
Bond Tract,2007
Bond Tract,2008
Bond Tract,2009
Bond Tract,2010
Bond Tract,2013
Bond Tract,2015
Bond Tract,2023
Soper Park,2004
Soper Park,2005
Soper Park,2006
Soper Park,2007
Soper Park,2008
Soper Park,2009
Soper Park,2010
Soper Park,2011
Soper Park,2013
Soper Park,2014
Soper Park,2016
Soper Park,2017
Soper Park,2023
McKinnon Property,2003
McKinnon Property,2004
McKinnon Property,2005
McKinnon Property,2006
McKinnon Property,2007
McKinnon Property,2008
Bulmer Farm,2004
Bulmer Farm,2005
Paddocks Property,2004
Paddocks Property,2010
Paddocks Property,2018
Side Road 10 Gauge,2004
Side Road 10 Gauge,2008
Side Road 10 Gauge,2009
Side Road 10 Gauge,2010
Aberfoyle Gauge,2008
Aberfoyle Gauge,2009
Aberfoyle Gauge,2010
McNie & Chen Property,2005
McNie & Chen Property,2006
Puslinch Community Centre,2005
Puslinch Community Centre,2009
Puslinch Community Centre,2018
Puslinch Community Centre,2019
Puslinch Community Centre,2022
Ed Lake Property,2006
Ed Lake Property,2008
Ed Lake Property,2010
Ed Lake Property,2011
Ed Lake Property,2012
Ed Lake Property,2013
Ed Lake Property,2014
Ed Lake Property,2015
Ed Lake Property,2016
Ed Lake Property,2017
Ed Lake Property,2018
Capital Paving Property,2006
Capital Paving Property,2007
Capital Paving Property,2008
Capital Paving Property,2009
Capital Paving Property,2010
Capital Paving Property,2011
Capital Paving Property,2013
Capital Paving Property,2014
Capital Paving Property,2016
Capital Paving Property,2018
Capital Paving Property,2023
Capital Paving Property,2024
McCrimmon Property,2012
McCrimmon Property,2013
McCrimmon Property,2014
McCrimmon Property,2015
McCrimmon Property,2016
McCrimmon Property,2017
McCrimmon Property,2018
McCrimmon Property,2019
Duscio Property,2010
Duscio Property,2015
Dufferin Aggregates Property,2009
Dufferin Aggregates Property,2015
Dufferin Aggregates Property,2023
Kerr Street Bridge,2017
Aberfoyle Tributary,2022
Aberfoyle Tributary,2023
CBM Lakes Property,2024