"","X.1","X","Collection_Timestamp","Result","Units","Start_36hr_Period","Mean_Water_Temp","Total_Precipitation","log_transformed","sqrt_transformed","ln_transformed"
"1",1,1,"2007-03-15 13:50:00",7.73,"N/A","2007-03-14 01:50:00",1.70208564583333,0.4,0.888179493918325,2.78028775489157,2.04510886259933
"2",2,2,"2007-03-27 10:00:00",7.81,"N/A","2007-03-25 22:00:00",2.67916204166667,2,0.8926510338773,2.79463772249642,2.05540496385159
"3",3,3,"2007-05-22 09:16:00",8.29,"N/A","2007-05-20 21:16:00",12.6718645833333,0,0.918554530550273,2.87923600977759,2.1150499691472
"4",4,4,"2007-06-19 08:50:00",8.57,"N/A","2007-06-17 20:50:00",17.8052070833333,8.8,0.932980821923198,2.92745623366089,2.14826773260969
"5",5,5,"2007-07-16 09:03:00",8.22,"N/A","2007-07-14 21:03:00",16.1385427083333,0,0.91487181754005,2.86705423736629,2.10657020906809
"6",6,6,"2007-08-13 09:37:00",8.04,"N/A","2007-08-11 21:37:00",18.0302233333333,2.8,0.905256048748451,2.83548937575156,2.08442908319087
"7",7,7,"2007-09-17 10:14:00",8.71,"N/A","2007-09-15 22:14:00",14.2031420833333,0,0.940018155007663,2.95127091267474,2.16447179086441
"8",8,8,"2007-10-22 09:23:00",8.07,"N/A","2007-10-20 21:23:00",12.602100625,0,0.90687353472207,2.84077454226836,2.08815348228186
"9",9,9,"2008-05-21 09:01:00",8.25,"N/A","2008-05-19 21:01:00",10.4791666666666,0,0.916453948549925,2.87228132326901,2.11021320034659
"10",10,10,"2008-06-24 09:21:00",8.51,"N/A","2008-06-22 21:21:00",15.4875,1.8,0.929929560084588,2.91719042916296,2.14124194258528
"11",11,11,"2008-07-21 09:26:00",8.1,"N/A","2008-07-19 21:26:00",17.81875,31.8,0.90848501887865,2.84604989415154,2.09186406167839
"12",12,12,"2008-08-12 09:15:00",7.96,"N/A","2008-08-10 21:15:00",15.1958333333333,0,0.900913067737669,2.82134719593318,2.07442899985629
"13",13,13,"2008-09-15 09:15:00",7.64,"N/A","2008-09-13 21:15:00",14.7927048649647,24.6,0.88309335857569,2.76405499221705,2.03339760317843
"14",14,14,"2008-10-09 08:46:00",8,"N/A","2008-10-07 20:46:00",10.0437361134257,12,0.903089986991944,2.82842712474619,2.07944154167984
"15",15,15,"2008-11-06 09:55:00",7.98,"N/A","2008-11-04 21:55:00",7.03645949433987,0.2,0.902002891350729,2.82488937836511,2.07693841146172
"16",16,16,"2009-03-18 09:20:00",7.86,"N/A","2009-03-16 21:20:00",2.71458333333333,0,0.895422546039408,2.80356915377524,2.06178660644112
"17",17,17,"2009-04-06 09:40:00",7.9,"N/A","2009-04-04 21:40:00",4.96145717977963,13.4,0.897627091290441,2.81069386451104,2.06686275947298
"18",18,18,"2009-05-05 09:35:00",8.16,"N/A","2009-05-03 21:35:00",10.5677118094093,6.4,0.911690158753861,2.85657137141714,2.09924416897602
"19",19,19,"2009-06-15 10:00:00",8.17,"N/A","2009-06-13 22:00:00",14.1437546219225,0,0.912222056532416,2.85832118559129,2.10046890887191
"20",20,20,"2009-07-14 09:40:00",8.11,"N/A","2009-07-12 21:40:00",16.5927187384391,0,0.909020854211156,2.84780617317963,2.09309786812732
"21",21,21,"2009-09-14 09:00:00",8.12,"N/A","2009-09-12 21:00:00",15.5200148148147,0,0.909556029241175,2.849561369755,2.09433015417359
"22",22,22,"2009-10-19 09:00:00",8.02,"N/A","2009-10-17 21:00:00",7.18541203703738,0,0.904174368284164,2.83196045170126,2.08193842187842
"23",23,23,"2009-11-23 08:55:00",7.94,"N/A","2009-11-21 20:55:00",6.76458333333333,0,0.899820502427096,2.81780056072107,2.07191327525904
"24",24,24,"2010-04-08 09:20:00",7.95,"N/A","2010-04-06 21:20:00",9.22083333333334,30.2,0.90036712865647,2.81957443597434,2.07317192866624
"25",25,25,"2010-04-19 09:15:00",8.15,"N/A","2010-04-17 21:15:00",9.12083333333333,0.2,0.911157608739977,2.85482048472404,2.09801792725277
"26",26,26,"2010-05-25 09:31:00",8.06,"N/A","2010-05-23 21:31:00",14.8197916666666,0,0.906335041805091,2.83901391331568,2.08691355651854
"27",27,27,"2010-06-21 09:20:00",8.01,"N/A","2010-06-19 21:20:00",16.9104166666666,20,0.903632516084238,2.83019433961698,2.08069076108027
"28",28,28,"2010-07-19 09:20:00",7.99,"N/A","2010-07-17 21:20:00",18.93125,6,0.902546779313991,2.82665880502051,2.07819075977818
"29",29,29,"2010-08-16 09:40:00",8.06,"N/A","2010-08-14 21:40:00",18.8843645948948,0.4,0.906335041805091,2.83901391331568,2.08691355651854
"30",30,30,"2010-09-20 09:35:00",8.27,"N/A","2010-09-18 21:35:00",13.6072997595263,0.2,0.917505509552547,2.87576076890968,2.1126345090356
"31",31,31,"2010-10-26 09:40:00",7.96,"N/A","2010-10-24 21:40:00",9.69999999999999,11.8,0.900913067737669,2.82134719593318,2.07442899985629
"32",32,32,"2010-11-24 09:45:00",7.74,"N/A","2010-11-22 21:45:00",6.68510638297872,10.2,0.888740960682893,2.78208554864871,2.04640168760164
"33",33,33,"2011-03-11 16:25:00",7.54,"N/A","2011-03-10 04:25:00",1.35416666666665,37.2,0.877371345869774,2.7459060435492,2.02022218201986
"34",34,34,"2011-04-11 09:45:00",7.89,"N/A","2011-04-09 21:45:00",4.83124999999999,6.2,0.89707700320942,2.80891438103763,2.06559613485778
"35",35,35,"2011-05-17 09:35:00",8.03,"N/A","2011-05-15 21:35:00",11.0458333333333,7,0.904715545278681,2.83372546306095,2.08318452795867
"36",36,36,"2011-06-20 09:10:00",8.05,"N/A","2011-06-18 21:10:00",15.8458333333333,0,0.905795880367869,2.83725219182222,2.08567209143047
"37",37,37,"2011-07-18 09:40:00",7.97,"N/A","2011-07-16 21:40:00",17.6541666666666,0,0.901458321396112,2.82311884269862,2.07568449280212
"38",38,38,"2011-08-15 09:20:00",8.11,"N/A","2011-08-13 21:20:00",17.3020833333332,0,0.909020854211156,2.84780617317963,2.09309786812732
"39",39,39,"2011-09-12 09:25:00",8.05,"N/A","2011-09-10 21:25:00",15.7333333333333,0,0.905795880367869,2.83725219182222,2.08567209143047
"40",40,40,"2011-10-18 09:35:00",7.75,"N/A","2011-10-16 21:35:00",11.6895833333333,0,0.88930170250631,2.78388218141501,2.04769284336526
"41",41,41,"2011-11-17 10:10:00",8.52,"N/A","2011-11-15 22:10:00",7.98541666666667,0,0.9304395947667,2.91890390386528,2.14241634084122
"42",42,42,"2012-04-16 09:10:00",8.05,"N/A","2012-04-14 21:10:00",8.08645833333318,4.6,0.905795880367869,2.83725219182222,2.08567209143047
"43",43,43,"2012-05-05 09:15:00",8.15,"N/A","2012-05-03 21:15:00",10.925,7.6,0.911157608739977,2.85482048472404,2.09801792725277
"44",44,44,"2012-06-18 09:00:00",8.04,"N/A","2012-06-16 21:00:00",17.6625,4.2,0.905256048748451,2.83548937575156,2.08442908319087
"45",45,45,"2012-07-16 09:00:00",7.94,"N/A","2012-07-14 21:00:00",19.3739583333333,0,0.899820502427096,2.81780056072107,2.07191327525904
"46",46,46,"2012-08-13 09:00:00",7.83,"N/A","2012-08-11 21:00:00",17.9444444444444,1.8,0.893761762057943,2.79821371592664,2.05796251000271
"47",47,47,"2012-09-12 09:20:00",8.2,"N/A","2012-09-10 21:20:00",15.8007740402899,0,0.913813852383717,2.86356421265527,2.10413415427021
"48",48,48,"2012-10-15 09:20:00",8.01,"N/A","2012-10-13 21:20:00",9.75624999999998,21.6,0.903632516084238,2.83019433961698,2.08069076108027
"49",49,49,"2012-11-13 09:15:00",8,"N/A","2012-11-11 21:15:00",7.06666666666692,8.8,0.903089986991944,2.82842712474619,2.07944154167984
"50",50,50,"2013-04-18 09:10:00",7.9,"N/A","2013-04-16 21:10:00",5.94479166666661,7.8,0.897627091290441,2.81069386451104,2.06686275947298
"51",51,51,"2013-05-16 09:20:00",8.05,"N/A","2013-05-14 21:20:00",10.95,0.4,0.905795880367869,2.83725219182222,2.08567209143047
"52",52,52,"2013-06-17 09:45:00",7.91,"N/A","2013-06-15 21:45:00",15.0499999999997,10.8,0.898176483497677,2.81247222208505,2.06812778177956
"53",53,53,"2013-07-09 09:20:00",8.19,"N/A","2013-07-07 21:20:00",17.6520833333333,0.6,0.913283901760418,2.86181760425084,2.10291389786498
"54",54,54,"2013-07-09 09:20:00",8.19,"N/A","2013-07-07 21:20:00",17.6520833333333,0.6,0.913283901760418,2.86181760425084,2.10291389786498
"55",55,55,"2013-08-13 09:30:00",7.84,"N/A","2013-08-11 21:30:00",15.9833333333333,2,0.894316062684438,2.8,2.05923883436232
"56",56,56,"2013-09-16 09:35:00",7.85,"N/A","2013-09-14 21:35:00",14.5572916666667,1.2,0.894869656745253,2.80178514522438,2.06051353179432
"57",57,57,"2013-10-22 09:30:00",7.62,"N/A","2013-10-20 21:30:00",10.6666666666666,15.6,0.8819549713396,2.76043474836845,2.03077636969855
"58",58,58,"2014-04-08 14:30:00",7.9,"N/A","2014-04-07 02:30:00",2.46666550917913,15.4,0.897627091290441,2.81069386451104,2.06686275947298
"59",59,59,"2014-05-01 11:50:00",7.88,"N/A","2014-04-29 23:50:00",7.12291666666674,14,0.896526217489555,2.80713376952364,2.06432790386979
"60",60,60,"2014-05-12 09:40:00",8.13,"N/A","2014-05-10 21:40:00",12.2749999999999,0,0.910090545594068,2.85131548587665,2.09556092355972
"61",61,61,"2016-09-19 09:20:00",8.41,"N/A","2016-09-17 21:20:00",15.9333334166667,0,0.924795995797912,2.9,2.12942147398486
"62",62,62,"2016-11-28 09:30:00",8.48,"N/A","2016-11-26 21:30:00",4.9250000000001,1.6,0.928395852256714,2.91204395571221,2.13771044980381
"63",63,63,"2017-04-25 10:10:00",8.71,"N/A","2017-04-23 22:10:00",9.125,14.4,0.940018155007663,2.95127091267474,2.16447179086441
"64",64,64,"2017-05-15 09:30:00",8.65,"N/A","2017-05-13 21:30:00",10.5489583333333,0,0.937016107464814,2.94108823397055,2.15755932094379
"65",65,65,"2017-06-15 09:35:00",8.18,"N/A","2017-06-13 21:35:00",16.5885416562499,0.2,0.912753303671323,2.86006992921502,2.10169215061466
"66",66,66,"2017-07-24 09:50:00",8.12,"N/A","2017-07-22 21:50:00",17.4499998020833,1,0.909556029241175,2.849561369755,2.09433015417359
"67",67,67,"2017-08-31 09:35:00",8.11,"N/A","2017-08-29 21:35:00",15.5958333333333,0.4,0.909020854211156,2.84780617317963,2.09309786812732
"68",68,68,"2017-09-20 09:40:00",8.17,"N/A","2017-09-18 21:40:00",15.8458333541667,1,0.912222056532416,2.85832118559129,2.10046890887191
"69",69,69,"2017-10-18 09:30:00",8.41,"N/A","2017-10-16 21:30:00",11.7052083333334,0,0.924795995797912,2.9,2.12942147398486
"70",70,70,"2017-11-06 09:10:00",8.45,"N/A","2017-11-04 21:10:00",8.25520833333336,0,0.926856708949692,2.90688837074973,2.13416644136908
"71",71,71,"2018-04-09 09:50:00",8.29,"N/A","2018-04-07 21:50:00",1.3,0,0.918554530550273,2.87923600977759,2.1150499691472
"72",72,72,"2018-05-14 09:40:00",7.86,"N/A","2018-05-12 21:40:00",10.8875,0,0.895422546039408,2.80356915377524,2.06178660644112
"73",73,73,"2018-06-19 09:40:00",8.38,"N/A","2018-06-17 21:40:00",16.5937497916667,3.2,0.923244018630276,2.89482296522603,2.12584791449399
"74",74,74,"2018-07-23 08:45:00",8.45,"N/A","2018-07-21 20:45:00",17.6875,13.6,0.926856708949692,2.90688837074973,2.13416644136908
"75",75,75,"2018-08-27 09:15:00",8.5,"N/A","2018-08-25 21:15:00",17.597916375,16,0.929418925714293,2.91547594742265,2.14006616349627
"76",76,76,"2018-09-10 10:10:00",8.71,"N/A","2018-09-08 22:10:00",16.3145835208333,17,0.940018155007663,2.95127091267474,2.16447179086441
"77",77,77,"2018-10-22 09:30:00",8.32,"N/A","2018-10-20 21:30:00",8.65697569444405,0,0.920123326290724,2.88444102037119,2.11866225483312
"78",78,78,"2018-11-27 09:25:00",8.23,"N/A","2018-11-25 21:25:00",2.59166666666667,44.8,0.91539983521227,2.86879765755621,2.10778601468898
"79",79,79,"2019-04-10 09:25:00",8.33,"N/A","2019-04-08 21:25:00",3.725,0,0.920645001406788,2.88617393793236,2.11986345617875
"80",80,80,"2022-06-06 09:30:00",8.02,"N/A","2022-06-04 21:30:00",14.1879918810758,4.2,0.904174368284164,2.83196045170126,2.08193842187842
"81",81,81,"2022-07-04 08:50:00",8.07,"N/A","2022-07-02 20:50:00",17.856007265624,0,0.90687353472207,2.84077454226836,2.08815348228186
"82",82,82,"2022-08-03 09:15:00",8.09,"N/A","2022-08-01 21:15:00",18.6120949843758,7.4,0.907948521612272,2.84429253066558,2.0906287310704
"83",83,83,"2022-09-14 09:45:00",8.15,"N/A","2022-09-12 21:45:00",15.1501078706574,0.8,0.911157608739977,2.85482048472404,2.09801792725277
"84",84,84,"2022-10-04 09:45:00",8.18,"N/A","2022-10-02 21:45:00",8.93650900347281,0,0.912753303671323,2.86006992921502,2.10169215061466
"85",85,85,"2022-11-07 09:30:00",8.22,"N/A","2022-11-05 21:30:00",11.0288683263892,2.6,0.91487181754005,2.86705423736629,2.10657020906809
